orig,kr
剣に生き剣を極めし者のみが知る禁忌の一閃は、此岸の穢れをことごとく震撼させる。寂滅した世界の中で孤高の剣を振り続ける者を、いつしかひとは剣の聖と呼んだ。
闇属性ダメージ(特大)/奥義ゲージUP(**%)/剣気が付与されている時、剣気を*回復,"<span class=""text-small"">암속성 데미지(특대) / 오의 게이지 UP(**%) / 검기가 부여되어있을 때, 검기를 *회복</span>"
漆黒の支配者,칠흑의 지배자
"<span class=""text-small"">剣気が付与されている時、光属性ダメージを軽減(サブ装備時効果半減)<br>◆主人公のみ</span>","<span class=""text-small"">검기가 부여되어있을 때, 광속성 데미지를 경감 (서브 장비시 효과 반감) ◆주인공만</span>"


オールド・エッケザックス,올드・에케작스
巨躯の英雄が生涯の友とした剣。その金色は歴戦を重ねていよいよ目映く、血で刀身を清めながら堅牢を貫かん。
ドゥルガー・マウナ,두르가 마우나


エッケザックス,에케작스
巨人の膂力に共鳴せし覚醒の剣。黄金に抱かれし七宝の石は武人に加護を授ける。千軍万馬に斬り込み、重畳の鎧兜を貫けば、死地逆転の一撃で必ずや首級をとらせん。


ショロトルリッパー,쇼로틀 리퍼
黄金の仮面に隠されし鋭き牙は有象無象を喰らい尽くし、瘴流の風が如き猛りをみせた。果ても知らず彷徨いし慟哭の牙は、落とした涙の最後の雫を金色の刃となして人の子に与え給う。安寧の破壊者、因果の及ばぬ敵を打ち滅ぼす力を遺し、己が友の守護者たらんと。,황금가면에 감춰진 날카로운 송곳니는 만물을 먹어치우고 독기의 바람과 같은 맹렬한 기세를 보였다。끝없이 헤매고 통곡하는 송곳니가 흘린 눈물의 마지막 한방울을 금빛의 칼날로 만들어 인간의 아이들에게 전한다。안녕의 파괴자、인과가 미치지 않는 적을 멸할 힘을 남기노니、내가 벗의 수호자가 되리라
彼方ヘノ遠吠エ,저편에서 들려오는 포효
風属性ダメージ(特大)/攻撃UP,풍속성 데미지(특대) / 공격 UP


バハムートソード・フツルス,바하무트 소드・푸투루스
創世の龍の鋭利な爪を象り、畏怖の念を込めて造られた終極の剣。全霊の斬撃は大地の心核を粉砕し、悉く深淵なる空の底へ叩き墜とす。
コンキリオ・イグニス,콩킬리오・이그니스
ヴィータ・イグニス,비타・이그니스
パーティのヒューマン族とドラフ族のキャラの数に応じて攻撃力と最大HP上昇,파티의 휴먼과 드라프의 캐릭터 수에 따라 공격력과 최대 HP 상승


ソード・オブ・コスモス,소드 오브 코스모스
混沌を治める秩序の剣。赤き瞳の少女は従えし龍の力を紡ぎ出し、蒼き祈りを込めて結晶化させた。その輝きは黎明となって乱世に絶対の律を布くだろう。
メディエーションスラッシュ＋,미디에이션 슬래시＋
装備中の「剣」の攻撃力とHPが上昇,장비한 「검」의 공격력과 HP가 상승
秩序の蒼剣,질서의 푸른 검
装備している「剣」の数が多いほどダメージ上限上昇,장비한 「검」의 수가 많을수록 데미지 상한 상승


エクスカリバー,엑스칼리버

王の剣,왕의 검
武器属性ダメージ(特大)/自分に弱点属性追撃効果,무기속성 데미지(특대) / 자신에게 약점 속성 추격 효과


コートシップ・ブーケ,코트십・부케
一世一代の決意が込められた花束。燃え上がる愛を託された花は、その固い意志を示すかのように、あらゆる苦難をも貫き通す。
プロポーズ,프러포즈


ディスペアー,디스페어
脈打つように滲む赤色の光が、新たな絶望の胎動を感じさせる。この剣を手にした者は最期、底のない果てへと堕ちてゆく。
ダークダウン,다크 다운
闇属性ダメージ(特大)/自分に死の祝福効果,암속성 데미지(특대) / 자신에게 죽음의 축복 효과
絶望の胎動,절망의 태동


ブルトガング,부르트강
深すぎる忠誠は闇を呼び、堅牢なる誓いは棘を纏う。ただひとりの貴き者を守護せんと、執念に憑りつかれた騎士はその本懐を遂げる為にこの剣を振るう。
無明剣,무명검
闇属性ダメージ(特大)/吸収効果,암속성 데미지(특대) / 흡수 효과


!S・D
遙か彼方の異界において、かつて天地を二分した大戦で振るわれたと伝わる剣。重量感のある身幅の広い両刃の剣は、白兵戦に優れるだけでなく、猛き炎の力を宿す。選ばれし者が持つと、心を通じ合わせることができると言われている。
殺劇舞荒剣,살극무황검
エクシード,익시드
被ダメージで火属性キャラの攻撃力上昇(累積),데미지를 받으면 화속성 캐릭터의 공격력 상승(누적)


青竜髭刃,청룡자인
深山幽谷にひそむ蒼き霊獣の髭は強靱にして伸縮自在の奇異を秘める。その希少な髭を撚って鞣した鞭は、柔らかく獲物を絡め取り、無量の絞圧で鋼鉄さえも引き千切る。
四象雲流嵐吹・東青,사상운류람취・동청
風属性ダメージ(特大)/連続攻撃確率UP,풍속성 데미지(특대) / 연속공격 확률 UP


アントウェルペン,안트베르펜
夏の休暇で訪れた先で見た美しい大自然をいつまでも忘れない様にと、とある貴族が自身の愛用する剣にその景色を刻み付けたと言われる、代々家督へと受け継がれてきた由緒正しい剣。
カイザーブレイズ,카이저 블레이즈
先制の炎刃,선제의 염인
バトル開始時から*ターンの間火属性キャラの攻撃力上昇,배틀 시작시 부터 *턴 동안 화속성 캐릭터의 공격력 상승


パラスの剣,파라스의 검
太陽のごとく赫灼とするその剣は自ら使い手を選ぶ。相応しき者には勇気と焔の力を与え、相応しくない者には、紅の焔をもって断罪する。かの剣を使いたくば、己が命を代価に挑むしかない。,태양처럼 빛나는 그 검은 스스로 주인을 고른다。상응하는 자에게는 용기와 불의 힘을 주고 적합하지 않은 자에게는 붉은 불꽃으로 단죄한다。이 검을 쥐고 싶다면 자신의 목숨을 걸고 도전해야 한다
メーティススラスト,메티스 스러스트


ナーゲルリング,나겔링
氷室の守り人が懐に持つ、霜雪から成る魔剣。一振りで周囲が凍て付き、二振りであらゆるものすべてが白き静寂へと帰す。
アングリム,앙그림


イイルクーン,이이르쿤
禍々しさを感じさせる漆黒の刀身に、澄んだ一陣の風の色が刻まれた騎士剣。重厚な雰囲気を抱きつつも、柄に施された繊細な銀の装飾が清廉とした色香を放ち、どこか女性らしさを思わせる。
ワザリングハイツ,워더링 하이츠
風属性ダメージ(特大)/自分の攻防UP,풍속성 데미지(특대) / 자신의 공방 UP


カースドブレイド,커스드 블레이드
遠雷の響きに包まれる夜、呪われし公爵は異形と化し、魔剣を創り出した。王への憎しみと仲間の義理の間で揺れる心を断ち切る為に。
ダークティアーズ,다크 티어즈
闇属性ダメージ(特大)/味方全体の闇属性攻撃UP,암속성 데미지(특대) / 아군 전체의 암속성 공격 UP
ダークドレイン,다크 드레인
稀に通常攻撃時の与ダメージに応じて回復 ◆メイン装備時/主人公のみ,일반공격시 드물게 데미지에 따라 회복 ◆메인 장비시 / 주인공만
カースドテンタクル,커스드 텐타클


ローズクリスタルソード,로즈 크리스탈 소드
燃えるが如く咲き誇る薔薇の生命力を結集し象られた剣。永久の命を与えられた儚き薔薇はその真紅の刃を持って罪深き者を断罪する。
ドミネイションブレード,도미네이션 블레이드
水属性ダメージ(特大)/水属性耐性DOWN,수속성 데미지(특대) / 수속성 내성 DOWN
蒼薔薇の棘,푸른 장미의 가시
蒼薔薇の花弁,푸른 장미의 꽃잎
火属性ダメージ軽減,화속성 데미지 경감


ソード・オブ・ミカエル,소드 오브 미카엘
天司ミカエルから比類なき火の属性の加護を施された剣。猩々緋に染まりし七つの刃は、有象無象を滾る炎で塵と化す。手にする者を魅了する荘厳な煌めきは、闇をも払う力となろう。
セラフブレード,세라프 블레이드
ミカエルの祝福II,미카엘의 축복 II
火属性のキャラが風属性の敵に対して与ダメージUP,화속성 캐릭터가 풍속성 적에게 가하는 데미지 UP


銀の依代の剣,은빛 의대용 검
漆黒の闇夜を比類なき燐光をもって照らし出す、銀の依代の剣。一縷の望みに天命を賭してこそ、その彷徨う心魂は導かれ峻厳たる蒼天の果てへと向かう。,"칠흑 같은 어두운 밤에도 인광을 내는 은빛 의대용 검。한가닥 희망에 천명을 걸었을 때, 그 방황하는 심혼은 인도되어 준엄한 창천의 끝으로 향한다"
銀の瞬き,은빛 반짝임
残夢の匣,잔몽의 상자
主を失いし器は、永き夜を眠り続ける。,"주인을 잃은 그릇은, 기나긴 잠에 빠져있다"


黄金の依代の剣,황금빛 의대용 검
天地万物随一の燦爛をもって、混沌たる世の中を掌握せしめんとする黄金の依代の剣。遥かなる高みに辿り着きし者こそが、万有の主となろう。,천지만물 제일의 찬란함으로 혼돈스러운 세상을 장악하고 있는 황금빛 의대용 검。까마득히 높은 경지에 도달한 자야말로 만물의 주인이 될 것이다
黄金の瞬き,황금빛 반짝임
鼓動,고동
遥かなる時を経て、いまふたたび魂が宿る。,아득한 시간을 거쳐 지금 다시 영혼이 깃든다


麒麟剣,기린검
悠久の昔、獲麟された怨恨は、その雄々しき角に深き闇を宿した。そこから生み出されし剣は禍々しき斬撃を放ち、絢爛たる天を冥暗へと引きずり込まん。
黒召刃,어둠을 부르는 검
闇属性ダメージ(特大)/闇属性防御DOWN,암속성 데미지(특대) / 암속성 방어 DOWN
靂天の暗雲,역천의 암운
靂天の黒鱗,역천의 흑린
光属性ダメージ軽減,광속성 데미지 경감


フェアネスマーク,페어니스 마크
リュミエール聖国で国宝として祀られた公正の名を持つ剣。厳然たる剣身に一度触れれば、永遠無窮の栄光を護りし正義を知り、騎士は更なる研鑽を心に誓うだろう。
光臨剣,광림검
先制の白壁,선제의 흰벽
バトル開始時から*ターンの間光属性キャラの防御力上昇,배틀시작부터 *턴 동안 암속성 캐릭터의 방어력 상승


プロトタイプ,프로토타입
星よりの侵略者に相対する兵器の試作として作られたその刃は、空を脅かす星の獣を取りこみ、己が力へと変える。戦乱の狂気が生んだ剣は、因果の果てに空と星とを繋ぐ者の元へと渡り、新たな物語の行く末を見守る。
